Category: Lighting Hardware
Items: 200

Category | Name | Size
Lighting Hardware | 6" recessed can, remodel IC | 6"
Lighting Hardware | 3" recessed can, remodel non-IC | 3"
Lighting Hardware | 4" recessed can, remodel non-IC | 4"
Lighting Hardware | 5" recessed can, remodel non-IC | 5"
Lighting Hardware | 6" recessed can, remodel non-IC | 6"
Lighting Hardware | 3" recessed can, sloped ceiling | 3"
Lighting Hardware | 4" recessed can, sloped ceiling | 4"
Lighting Hardware | 5" recessed can, sloped ceiling | 5"
Lighting Hardware | 6" recessed can, sloped ceiling | 6"
Lighting Hardware | 3" reflector trim | 3"
Lighting Hardware | 4" reflector trim | 4"
Lighting Hardware | 5" reflector trim | 5"
Lighting Hardware | 6" reflector trim | 6"
Lighting Hardware | Semi-flush ceiling fixture | -
Lighting Hardware | 3" shower wet-rated trim | 3"
Lighting Hardware | 4" shower wet-rated trim | 4"
Lighting Hardware | 5" shower wet-rated trim | 5"
Lighting Hardware | 6" shower wet-rated trim | 6"
Lighting Hardware | Surface-mount ceiling fixture | -
Lighting Hardware | Tape light channel | -
Lighting Hardware | Tenon adapter | -
Lighting Hardware | Track light connector | -
Lighting Hardware | Track light end feed | -
Lighting Hardware | Track light head | -
Lighting Hardware | 12" under-cabinet light bar | 12"
Lighting Hardware | 18" under-cabinet light bar | 18"
Lighting Hardware | 24" under-cabinet light bar | 24"
Lighting Hardware | 36" under-cabinet light bar | 36"
Lighting Hardware | Vanity light bar | -
Lighting Hardware | Vanity light, 1-light | -
Lighting Hardware | Vanity light, 2-light | -
Lighting Hardware | Vanity light, 3-light | -
Lighting Hardware | Vanity light, 4-light | -
Lighting Hardware | 4 ft vapor tight fixture | 4 ft
Lighting Hardware | 8 ft vapor tight fixture | 8 ft
Lighting Hardware | 4" wafer LED downlight | 4"
Lighting Hardware | 5"/6" wafer LED downlight | 5"
Lighting Hardware | 2" wafer LED downlight, CCT selectable | 2"
Lighting Hardware | 3" wafer LED downlight, CCT selectable | 3"
Lighting Hardware | 4" wafer LED downlight, CCT selectable | 4"
Lighting Hardware | 5" wafer LED downlight, CCT selectable | 5"
Lighting Hardware | 6" wafer LED downlight, CCT selectable | 6"
Lighting Hardware | 8" wafer LED downlight, CCT selectable | 8"
Lighting Hardware | 2" wafer LED downlight, gimbal | 2"
Lighting Hardware | 3" wafer LED downlight, gimbal | 3"
Lighting Hardware | 4" wafer LED downlight, gimbal | 4"
Lighting Hardware | 5" wafer LED downlight, gimbal | 5"
Lighting Hardware | 6" wafer LED downlight, gimbal | 6"
Lighting Hardware | 8" wafer LED downlight, gimbal | 8"
Lighting Hardware | 2" wafer LED downlight, slim | 2"
Lighting Hardware | 3" wafer LED downlight, slim | 3"
Lighting Hardware | 4" wafer LED downlight, slim | 4"
Lighting Hardware | 5" wafer LED downlight, slim | 5"
Lighting Hardware | 6" wafer LED downlight, slim | 6"
Lighting Hardware | 8" wafer LED downlight, slim | 8"
Lighting Hardware | 2" wafer LED downlight, wet rated | 2"
Lighting Hardware | 3" wafer LED downlight, wet rated | 3"
Lighting Hardware | 4" wafer LED downlight, wet rated | 4"
Lighting Hardware | 5" wafer LED downlight, wet rated | 5"
Lighting Hardware | 6" wafer LED downlight, wet rated | 6"
Lighting Hardware | 8" wafer LED downlight, wet rated | 8"
Lighting Hardware | Wall pack | -
Lighting Hardware | Wall pack, full cutoff | -
Lighting Hardware | Wall pack, large | -
Lighting Hardware | Wall pack, mini | -
Lighting Hardware | Well light fixture | -
