Category: Breakers
Items: 87

Category | Name | Size
Breakers | 15/15 tandem breaker | -
Breakers | 15/20 tandem breaker | -
Breakers | 15A 2-Pole half-size breaker | 15A
Breakers | 20A 2-Pole half-size breaker | 20A
Breakers | 30A 2-Pole half-size breaker | 30A
Breakers | 40A 2-Pole half-size breaker | 40A
Breakers | 50A 2-Pole half-size breaker | 50A
Breakers | 20/20 tandem breaker | -
Breakers | 30/30 tandem breaker | -
Breakers | 15A Single-Pole half-size breaker | 15A
Breakers | 20A Single-Pole half-size breaker | 20A
Breakers | 30A Single-Pole half-size breaker | 30A
Breakers | 15A Single-Pole breaker | 15A
Breakers | 20A Single-Pole breaker | 20A
Breakers | 25A Single-Pole breaker | 25A
Breakers | 30A Single-Pole breaker | 30A
Breakers | 35A Single-Pole breaker | 35A
Breakers | 40A Single-Pole breaker | 40A
Breakers | 45A Single-Pole breaker | 45A
Breakers | 50A Single-Pole breaker | 50A
Breakers | 60A Single-Pole breaker | 60A
Breakers | 70A Single-Pole breaker | 70A
Breakers | 15A Single-Pole AFCI breaker | 15A
Breakers | 20A Single-Pole AFCI breaker | 20A
Breakers | 25A Single-Pole AFCI breaker | 25A
Breakers | 30A Single-Pole AFCI breaker | 30A
Breakers | 15A Single-Pole GFCI breaker | 15A
Breakers | 20A Single-Pole GFCI breaker | 20A
Breakers | 30A Single-Pole GFCI breaker | 30A
Breakers | 15A Single-Pole AFCI/GFCI combo breaker | 15A
Breakers | 20A Single-Pole AFCI/GFCI combo breaker | 20A
Breakers | 15A 2-Pole breaker | 15A
Breakers | 20A 2-Pole breaker | 20A
Breakers | 25A 2-Pole breaker | 25A
Breakers | 30A 2-Pole breaker | 30A
Breakers | 35A 2-Pole breaker | 35A
Breakers | 40A 2-Pole breaker | 40A
Breakers | 45A 2-Pole breaker | 45A
Breakers | 50A 2-Pole breaker | 50A
Breakers | 60A 2-Pole breaker | 60A
Breakers | 70A 2-Pole breaker | 70A
Breakers | 80A 2-Pole breaker | 80A
Breakers | 90A 2-Pole breaker | 90A
Breakers | 100A 2-Pole breaker | 100A
Breakers | 110A 2-Pole breaker | 110A
Breakers | 125A 2-Pole breaker | 125A
Breakers | 150A 2-Pole breaker | 150A
Breakers | 175A 2-Pole breaker | 175A
Breakers | 200A 2-Pole breaker | 200A
Breakers | 100A 2-Pole main breaker | 100A
Breakers | 125A 2-Pole main breaker | 125A
Breakers | 150A 2-Pole main breaker | 150A
Breakers | 200A 2-Pole main breaker | 200A
Breakers | 15A 2-Pole quad breaker | 15A
Breakers | 20A 2-Pole quad breaker | 20A
Breakers | Shunt-trip breaker, 2-Pole | -
Breakers | 20A 2-Pole AFCI breaker | 20A
Breakers | 30A 2-Pole AFCI breaker | 30A
Breakers | 20A 2-Pole GFCI breaker | 20A
Breakers | 30A 2-Pole GFCI breaker | 30A
Breakers | 40A 2-Pole GFCI breaker | 40A
Breakers | 50A 2-Pole GFCI breaker | 50A
Breakers | 60A 2-Pole GFCI breaker | 60A
Breakers | 20A 2-Pole AFCI/GFCI combo breaker | 20A
Breakers | 30A 2-Pole AFCI/GFCI combo breaker | 30A
Breakers | 15A 3-Pole breaker | 15A
Breakers | 20A 3-Pole breaker | 20A
Breakers | 25A 3-Pole breaker | 25A
Breakers | 30A 3-Pole breaker | 30A
Breakers | 35A 3-Pole breaker | 35A
Breakers | 40A 3-Pole breaker | 40A
Breakers | 45A 3-Pole breaker | 45A
Breakers | 50A 3-Pole breaker | 50A
Breakers | 60A 3-Pole breaker | 60A
Breakers | 70A 3-Pole breaker | 70A
Breakers | 80A 3-Pole breaker | 80A
Breakers | 90A 3-Pole breaker | 90A
Breakers | 100A 3-Pole breaker | 100A
Breakers | 125A 3-Pole breaker | 125A
Breakers | 150A 3-Pole breaker | 150A
Breakers | 200A 3-Pole breaker | 200A
Breakers | Shunt-trip breaker, 3-Pole | -
Breakers | Breaker handle tie | -
Breakers | Breaker hold-down kit | -
Breakers | Breaker lock-off | -
Breakers | Breaker-style surge protective device | -
Breakers | Sub-feed breaker kit | -
